https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1616025600000,2021-03-18 00:00:00,ADA/USDT,1.37750000,1.39300000,1.37701000,1.38829000,6335443.00000000,8782532.58520400,7863
1615939200000,2021-03-17 00:00:00,ADA/USDT,1.24974000,1.43000000,1.20353000,1.37700000,1094860557.70000000,1409057696.60329500,1700157
1615852800000,2021-03-16 00:00:00,ADA/USDT,1.03071000,1.28000000,1.00000000,1.24924000,1248716359.10000000,1458646287.62706500,1590786
1615766400000,2021-03-15 00:00:00,ADA/USDT,1.05241000,1.07078000,1.00001000,1.03103000,400978353.10000000,415080286.21487300,485996
1615680000000,2021-03-14 00:00:00,ADA/USDT,1.10016000,1.10265000,1.05190000,1.05243000,304362465.70000000,328663726.91666200,388068
1615593600000,2021-03-13 00:00:00,ADA/USDT,1.03207000,1.19300000,0.98500000,1.10000000,643811025.40000000,707355593.96600000,778819
1615507200000,2021-03-12 00:00:00,ADA/USDT,1.12417000,1.12800000,1.02000000,1.03207000,423021914.40000000,453536801.75149200,535644
1615420800000,2021-03-11 00:00:00,ADA/USDT,1.13226000,1.14000000,1.10750000,1.12430000,301611714.10000000,338688320.67977900,376289
1615334400000,2021-03-10 00:00:00,ADA/USDT,1.19734000,1.20800000,1.11500000,1.13261000,384497300.90000000,446671691.44993500,514521
1615248000000,2021-03-09 00:00:00,ADA/USDT,1.11836000,1.22000000,1.11083000,1.19720000,616039069.30000000,718499784.32359100,731610
1615161600000,2021-03-08 00:00:00,ADA/USDT,1.13073000,1.17835000,1.10500000,1.11848000,398514643.50000000,450421643.82780300,455437
1615075200000,2021-03-07 00:00:00,ADA/USDT,1.12901000,1.14500000,1.10562000,1.13042000,324367538.90000000,365845333.63541200,381768
1614988800000,2021-03-06 00:00:00,ADA/USDT,1.15907000,1.18300000,1.08493000,1.12900000,394799528.80000000,442918849.66938900,671557
1614902400000,2021-03-05 00:00:00,ADA/USDT,1.11261000,1.19720000,1.03374000,1.15908000,830654685.10000000,934727653.73102900,1132387
1614816000000,2021-03-04 00:00:00,ADA/USDT,1.21315000,1.23052000,1.06695000,1.11239000,748035034.30000000,859720613.29792500,882082
1614729600000,2021-03-03 00:00:00,ADA/USDT,1.22281000,1.26636000,1.20865000,1.21311000,454913445.30000000,563382389.44014900,529175
1614643200000,2021-03-02 00:00:00,ADA/USDT,1.29678000,1.29998000,1.18000000,1.22280000,753904502.90000000,923673564.29113300,993914
1614556800000,2021-03-01 00:00:00,ADA/USDT,1.31279000,1.34800000,1.23131000,1.29627000,984011920.20000000,1262620102.61669100,1302837
1614470400000,2021-02-28 00:00:00,ADA/USDT,1.31400000,1.35950000,1.15400000,1.31203000,1599172340.30000000,2000892510.56634300,1836152
1614384000000,2021-02-27 00:00:00,ADA/USDT,1.24353000,1.48800000,1.22710000,1.31402000,1994359638.50000000,2726382795.36457250,2344043
1614297600000,2021-02-26 00:00:00,ADA/USDT,1.07688000,1.29800000,0.99000000,1.24303000,1805727721.50000000,2078674172.96550500,1842500
1614211200000,2021-02-25 00:00:00,ADA/USDT,1.04883000,1.17700000,1.01200000,1.07691000,961855836.20000000,1053858750.54246900,1065150
1614124800000,2021-02-24 00:00:00,ADA/USDT,0.96136000,1.07700000,0.89780000,1.04902000,946049063.30000000,959472420.87160500,986749
1614038400000,2021-02-23 00:00:00,ADA/USDT,1.09728000,1.14200000,0.81000000,0.96197000,1625220448.70000000,1563316092.76000800,1748705
1613952000000,2021-02-22 00:00:00,ADA/USDT,1.09955000,1.14600000,0.83100000,1.09703000,1333970209.10000000,1356545593.49131700,1291551
1613865600000,2021-02-21 00:00:00,ADA/USDT,1.11560000,1.15172000,1.06750000,1.09894000,636265765.20000000,708941857.79005800,804446
1613779200000,2021-02-20 00:00:00,ADA/USDT,0.92597000,1.20000000,0.91329000,1.11568000,1480541916.53000000,1605889356.97680920,1562187
1613692800000,2021-02-19 00:00:00,ADA/USDT,0.91433000,0.94560000,0.87851000,0.92581000,547803715.80000000,503644913.65466100,534053
1613606400000,2021-02-18 00:00:00,ADA/USDT,0.89206000,0.95780000,0.89202000,0.91442000,580074009.40000000,536478522.56653400,645125
1613520000000,2021-02-17 00:00:00,ADA/USDT,0.86990000,0.89745000,0.82150000,0.89206000,460328636.10000000,397664271.25875100,571034
1613433600000,2021-02-16 00:00:00,ADA/USDT,0.86128000,0.90591000,0.83334000,0.87000000,526075390.60000000,460384874.04045900,559396
1613347200000,2021-02-15 00:00:00,ADA/USDT,0.84288000,0.91100000,0.68560000,0.86143000,932826536.90000000,773675700.77952900,1016723
1613260800000,2021-02-14 00:00:00,ADA/USDT,0.91303000,0.91900000,0.80666000,0.84364000,539495015.40000000,464156537.89327000,481065
1613174400000,2021-02-13 00:00:00,ADA/USDT,0.92418000,0.95053000,0.82000000,0.91299000,586878561.30000000,527921465.84935500,566194
1613088000000,2021-02-12 00:00:00,ADA/USDT,0.92810000,0.94825000,0.86600000,0.92426000,649547803.80000000,593210760.20074700,660663
1613001600000,2021-02-11 00:00:00,ADA/USDT,0.94041000,0.98000000,0.86513000,0.92796000,975100368.22000000,903411072.75331220,1176112
1612915200000,2021-02-10 00:00:00,ADA/USDT,0.70562000,0.95306000,0.70555000,0.93966000,1693219939.33000000,1404210349.29857910,1481690
1612828800000,2021-02-09 00:00:00,ADA/USDT,0.67674000,0.71206000,0.66240000,0.70562000,590482327.70000000,405545405.29600700,641568
1612742400000,2021-02-08 00:00:00,ADA/USDT,0.66109000,0.72380000,0.63191000,0.67638000,1008667679.66000000,687200350.05474900,834316
1612656000000,2021-02-07 00:00:00,ADA/USDT,0.63444000,0.70888000,0.58000000,0.66109000,1596532267.50000000,1031252551.24831640,1258967
1612569600000,2021-02-06 00:00:00,ADA/USDT,0.53874000,0.66706000,0.51901000,0.63444000,1255504052.74000000,735618983.12586810,1012355
1612483200000,2021-02-05 00:00:00,ADA/USDT,0.43903000,0.56000000,0.43638000,0.53917000,1277155737.26000000,647988571.37299050,1006967
1612396800000,2021-02-04 00:00:00,ADA/USDT,0.44213000,0.45000000,0.41003000,0.43934000,536142412.30000000,231296073.09673400,356573
1612310400000,2021-02-03 00:00:00,ADA/USDT,0.42500000,0.44961000,0.41509000,0.44189000,541252929.40000000,233609024.22533700,382672
1612224000000,2021-02-02 00:00:00,ADA/USDT,0.40882000,0.45590000,0.38868000,0.42498000,1501769862.49000000,635347397.56463510,959565
1612137600000,2021-02-01 00:00:00,ADA/USDT,0.34464000,0.42411000,0.33214000,0.40876000,844822325.13000000,315517729.23644680,424028
1612051200000,2021-01-31 00:00:00,ADA/USDT,0.36395000,0.37752000,0.33800000,0.34475000,399794774.90000000,141712986.45482200,322422
1611964800000,2021-01-30 00:00:00,ADA/USDT,0.34764000,0.37694000,0.33700000,0.36400000,510716622.40000000,181305666.29353200,329408
1611878400000,2021-01-29 00:00:00,ADA/USDT,0.34409000,0.36836000,0.33050000,0.34752000,666472809.50000000,235094446.38598800,438205
1611792000000,2021-01-28 00:00:00,ADA/USDT,0.31142000,0.35575000,0.30431000,0.34409000,487709261.20000000,163965629.11007400,309801
1611705600000,2021-01-27 00:00:00,ADA/USDT,0.34342000,0.34396000,0.30404000,0.31144000,422544056.10000000,135320113.26221600,235043
1611619200000,2021-01-26 00:00:00,ADA/USDT,0.34284000,0.35111000,0.32404000,0.34330000,354428194.00000000,120457217.74356200,202859
1611532800000,2021-01-25 00:00:00,ADA/USDT,0.35346000,0.36415000,0.34034000,0.34308000,407390809.50000000,144604820.56265500,222342
1611446400000,2021-01-24 00:00:00,ADA/USDT,0.34575000,0.36926000,0.33613000,0.35345000,458536220.60000000,161447140.08689800,234964
1611360000000,2021-01-23 00:00:00,ADA/USDT,0.34842000,0.35763000,0.33541000,0.34583000,418300948.70000000,145267535.31274000,240273
1611273600000,2021-01-22 00:00:00,ADA/USDT,0.30786000,0.35980000,0.28000000,0.34867000,898752288.00000000,290516408.41913100,465828
1611187200000,2021-01-21 00:00:00,ADA/USDT,0.37548000,0.37945000,0.30000000,0.30785000,785029729.80000000,267771231.78866400,404103
1611100800000,2021-01-20 00:00:00,ADA/USDT,0.36720000,0.37690000,0.33033000,0.37532000,656351514.50000000,232444042.01294800,346650
1611014400000,2021-01-19 00:00:00,ADA/USDT,0.37132000,0.39001000,0.36200000,0.36720000,606641543.00000000,226285256.53648900,370018
1610928000000,2021-01-18 00:00:00,ADA/USDT,0.38077000,0.39724000,0.36413000,0.37123000,636785470.40000000,239548962.44815900,345702
1610841600000,2021-01-17 00:00:00,ADA/USDT,0.35057000,0.39740000,0.34076000,0.38081000,1422650839.29000000,529806343.19037530,738575
1610755200000,2021-01-16 00:00:00,ADA/USDT,0.30189000,0.36696000,0.30186000,0.35071000,1219589043.23000000,416047249.20754950,551624
1610668800000,2021-01-15 00:00:00,ADA/USDT,0.31203000,0.33225000,0.27739000,0.30188000,853517402.80000000,264651790.30499400,383114
1610582400000,2021-01-14 00:00:00,ADA/USDT,0.31246000,0.32455000,0.29646000,0.31201000,656502674.00000000,204581244.13670000,292444
1610496000000,2021-01-13 00:00:00,ADA/USDT,0.28875000,0.31587000,0.27000000,0.31230000,715473111.90000000,208192713.90953000,296349
1610409600000,2021-01-12 00:00:00,ADA/USDT,0.27563000,0.31442000,0.26280000,0.28888000,1059013244.80000000,303626067.85841900,422638
1610323200000,2021-01-11 00:00:00,ADA/USDT,0.30154000,0.30397000,0.22880000,0.27570000,1530569582.30000000,404536667.17006900,534981
1610236800000,2021-01-10 00:00:00,ADA/USDT,0.33062000,0.34120000,0.27948000,0.30153000,908667596.00000000,285668888.34135600,409748
1610150400000,2021-01-09 00:00:00,ADA/USDT,0.30392000,0.33851000,0.29583000,0.33062000,820267450.70000000,259644112.08064400,364494
1610064000000,2021-01-08 00:00:00,ADA/USDT,0.29917000,0.32165000,0.26175000,0.30389000,1284205249.40000000,380368302.98094100,531917
1609977600000,2021-01-07 00:00:00,ADA/USDT,0.33311000,0.35530000,0.27850000,0.29928000,1411321698.55000000,453119832.63003480,654373
1609891200000,2021-01-06 00:00:00,ADA/USDT,0.25889000,0.34772000,0.25347000,0.33309000,2059110042.76000000,611715688.06061450,893919
1609804800000,2021-01-05 00:00:00,ADA/USDT,0.22518000,0.26429000,0.20696000,0.25873000,1478887679.33000000,349709110.76222260,614385
1609718400000,2021-01-04 00:00:00,ADA/USDT,0.20625000,0.23992000,0.19203000,0.22528000,1463415575.60000000,315299480.49144570,548636
1609632000000,2021-01-03 00:00:00,ADA/USDT,0.17740000,0.20960000,0.17255000,0.20615000,1201451449.30000000,230834619.47617280,403926
