https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1616025600000,2021-03-18 00:00:00,BNB/USDT,269.85780000,272.83990000,269.79290000,272.02880000,25426.36100000,6908567.53244020,7600
1615939200000,2021-03-17 00:00:00,BNB/USDT,258.56110000,272.17870000,248.20010000,269.78960000,2856836.91900000,734538705.60103870,710698
1615852800000,2021-03-16 00:00:00,BNB/USDT,254.38940000,259.78470000,240.19900000,258.53520000,3013229.00000000,759878684.50778290,941686
1615766400000,2021-03-15 00:00:00,BNB/USDT,263.35000000,267.74530000,249.53270000,254.51440000,3362734.14300000,865778780.11444740,913171
1615680000000,2021-03-14 00:00:00,BNB/USDT,276.28920000,276.88470000,263.00030000,263.23800000,2432196.53500000,656730954.56093410,784354
1615593600000,2021-03-13 00:00:00,BNB/USDT,263.19200000,284.28570000,255.42060000,276.28220000,3902398.38600000,1064357365.47883380,1080831
1615507200000,2021-03-12 00:00:00,BNB/USDT,289.78600000,290.50000000,247.55470000,263.22010000,5905880.87000000,1595966693.35391890,1777265
1615420800000,2021-03-11 00:00:00,BNB/USDT,278.35220000,315.28550000,272.12000000,290.03010000,6598662.20700000,1921178267.96699030,1782636
1615334400000,2021-03-10 00:00:00,BNB/USDT,293.13050000,295.50000000,263.81840000,278.44990000,6012304.14800000,1691967448.98870790,1879085
1615248000000,2021-03-09 00:00:00,BNB/USDT,240.78520000,297.29620000,235.60010000,293.20520000,7937298.70800000,2125830116.67074070,2185699
1615161600000,2021-03-08 00:00:00,BNB/USDT,240.10390000,243.09860000,228.70290000,240.55090000,3045991.96800000,717450084.58489480,828116
1615075200000,2021-03-07 00:00:00,BNB/USDT,226.38120000,243.95000000,224.95420000,240.11000000,3519962.92900000,825683976.96684100,830560
1614988800000,2021-03-06 00:00:00,BNB/USDT,225.53910000,232.49960000,219.15140000,226.38140000,2663375.53600000,600491090.20318410,746840
1614902400000,2021-03-05 00:00:00,BNB/USDT,229.63690000,232.20000000,215.64390000,225.47140000,3654842.80500000,816218663.60476220,979892
1614816000000,2021-03-04 00:00:00,BNB/USDT,240.48010000,249.98850000,225.53080000,229.63690000,3999983.83600000,951344257.27070640,926776
1614729600000,2021-03-03 00:00:00,BNB/USDT,239.72040000,254.84810000,236.00200000,240.57010000,4278388.73300000,1055004494.11749270,1000546
1614643200000,2021-03-02 00:00:00,BNB/USDT,254.94860000,264.90000000,227.00000000,239.68410000,5386013.79400000,1322863990.43051720,1328836
1614556800000,2021-03-01 00:00:00,BNB/USDT,210.11770000,260.00000000,209.12040000,254.96370000,7911568.19400000,1909672582.71192420,1907462
1614470400000,2021-02-28 00:00:00,BNB/USDT,225.45670000,229.40000000,195.00000000,210.21380000,5674373.24900000,1188324867.57368960,1183188
1614384000000,2021-02-27 00:00:00,BNB/USDT,221.95920000,237.77000000,219.01100000,225.38530000,4192697.15200000,956073854.79607420,1008973
1614297600000,2021-02-26 00:00:00,BNB/USDT,234.76050000,239.40000000,209.10500000,221.71700000,7410706.38500000,1673740236.88633920,1741056
