https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1616025600000,2021-03-18 00:00:00,EOS/USDT,4.08720000,4.11850000,4.08720000,4.11330000,380282.05000000,1560337.38989600,2926
1615939200000,2021-03-17 00:00:00,EOS/USDT,4.06680000,4.09470000,3.85420000,4.08670000,21834414.44000000,86682376.42489800,271838
1615852800000,2021-03-16 00:00:00,EOS/USDT,3.81430000,4.13430000,3.67150000,4.06610000,31898121.62000000,126450751.46629700,342313
1615766400000,2021-03-15 00:00:00,EOS/USDT,3.92560000,4.03370000,3.71500000,3.81690000,27198247.86000000,104925642.24351700,190520
1615680000000,2021-03-14 00:00:00,EOS/USDT,4.28270000,4.38460000,3.92550000,3.92560000,26674595.90000000,110493978.35432000,440797
1615593600000,2021-03-13 00:00:00,EOS/USDT,3.78220000,4.38630000,3.67870000,4.28160000,28813745.27000000,116173328.41316800,245938
1615507200000,2021-03-12 00:00:00,EOS/USDT,3.95360000,3.99350000,3.67340000,3.78280000,24719121.33000000,94887997.99049400,242231
1615420800000,2021-03-11 00:00:00,EOS/USDT,3.98930000,4.05020000,3.70010000,3.95320000,24375977.23000000,95979657.95535100,233130
1615334400000,2021-03-10 00:00:00,EOS/USDT,4.16530000,4.18800000,3.89390000,3.99100000,27216643.27000000,109876550.71507900,218205
1615248000000,2021-03-09 00:00:00,EOS/USDT,3.89910000,4.18380000,3.85000000,4.16730000,28686527.23000000,115028301.99285700,268791
1615161600000,2021-03-08 00:00:00,EOS/USDT,3.83050000,3.93000000,3.73360000,3.89810000,23014527.54000000,88285465.14156400,174089
1615075200000,2021-03-07 00:00:00,EOS/USDT,3.72140000,3.84690000,3.71540000,3.83100000,16280416.71000000,61368678.93075300,116298
1614988800000,2021-03-06 00:00:00,EOS/USDT,3.69160000,3.77120000,3.59760000,3.72070000,13409844.36000000,49614113.79884100,153019
1614902400000,2021-03-05 00:00:00,EOS/USDT,3.74900000,3.75570000,3.55630000,3.69040000,18490563.23000000,67623998.48509200,218736
1614816000000,2021-03-04 00:00:00,EOS/USDT,3.82560000,3.92490000,3.63800000,3.74830000,26425366.93000000,100304671.92632800,249601
1614729600000,2021-03-03 00:00:00,EOS/USDT,3.67030000,4.06550000,3.64220000,3.82580000,35571041.38000000,138288349.73144400,350265
1614643200000,2021-03-02 00:00:00,EOS/USDT,3.70740000,3.85000000,3.56300000,3.67100000,25186129.94000000,92919294.31023900,202412
1614556800000,2021-03-01 00:00:00,EOS/USDT,3.47450000,3.75870000,3.44860000,3.70490000,22194068.43000000,79859262.09578200,170591
1614470400000,2021-02-28 00:00:00,EOS/USDT,3.67240000,3.69960000,3.24210000,3.47650000,31361448.32000000,108016288.45603500,240225
1614384000000,2021-02-27 00:00:00,EOS/USDT,3.54870000,3.83980000,3.54310000,3.67150000,24977922.66000000,92700866.03021600,309840
1614297600000,2021-02-26 00:00:00,EOS/USDT,3.66950000,3.76990000,3.40000000,3.54770000,38391146.46000000,137887241.19841600,275584
1614211200000,2021-02-25 00:00:00,EOS/USDT,3.89010000,4.09740000,3.62380000,3.67110000,32728301.12000000,128140701.93080600,333388
1614124800000,2021-02-24 00:00:00,EOS/USDT,3.85170000,4.13930000,3.67750000,3.88920000,45678448.75000000,179871539.92158000,335781
1614038400000,2021-02-23 00:00:00,EOS/USDT,4.68830000,4.72210000,3.18620000,3.85210000,101007395.36000000,390977884.34895000,685943
1613952000000,2021-02-22 00:00:00,EOS/USDT,5.10080000,5.30480000,4.09900000,4.68770000,78799750.21000000,378586220.79884500,644000
1613865600000,2021-02-21 00:00:00,EOS/USDT,4.84000000,5.36550000,4.72960000,5.10080000,40374613.60000000,203941736.77652200,348949
1613779200000,2021-02-20 00:00:00,EOS/USDT,5.22650000,5.45450000,4.51860000,4.83900000,51716507.01000000,267080451.28050100,380693
