https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1616025600000,2021-03-18 00:00:00,ETH/USDT,1823.58000000,1838.89000000,1823.02000000,1834.42000000,8655.76598000,15860770.42333880,8891
1615939200000,2021-03-17 00:00:00,ETH/USDT,1805.01000000,1838.88000000,1741.18000000,1823.58000000,658349.44843000,1177718486.96461370,872416
1615852800000,2021-03-16 00:00:00,ETH/USDT,1793.99000000,1819.50000000,1711.68000000,1805.12000000,764993.40147000,1360127229.78991600,987906
1615766400000,2021-03-15 00:00:00,ETH/USDT,1848.10000000,1891.76000000,1730.00000000,1793.48000000,1025326.79658000,1842608872.76306020,1496415
1615680000000,2021-03-14 00:00:00,ETH/USDT,1922.35000000,1933.10000000,1836.00000000,1848.10000000,637963.63627000,1200354205.60335700,963564
1615593600000,2021-03-13 00:00:00,ETH/USDT,1766.13000000,1944.30000000,1727.75000000,1922.35000000,926283.22642000,1718553131.96147330,1265904
1615507200000,2021-03-12 00:00:00,ETH/USDT,1825.78000000,1841.88000000,1719.72000000,1766.10000000,869564.63610000,1542873062.42010170,1126153
1615420800000,2021-03-11 00:00:00,ETH/USDT,1795.28000000,1846.70000000,1725.00000000,1825.78000000,909011.49610000,1627027458.08879630,1023958
1615334400000,2021-03-10 00:00:00,ETH/USDT,1870.50000000,1877.69000000,1757.00000000,1795.12000000,937230.62831000,1706230875.26766380,1098051
1615248000000,2021-03-09 00:00:00,ETH/USDT,1833.22000000,1870.77000000,1798.20000000,1870.51000000,857229.47855000,1570286249.45090050,1196670
1615161600000,2021-03-08 00:00:00,ETH/USDT,1726.46000000,1843.59000000,1664.96000000,1833.18000000,1149711.39987000,1995142128.64813450,1407402
1615075200000,2021-03-07 00:00:00,ETH/USDT,1650.68000000,1734.16000000,1630.35000000,1726.16000000,848470.78136000,1414988218.19354000,1166072
1614988800000,2021-03-06 00:00:00,ETH/USDT,1528.08000000,1671.58000000,1513.03000000,1650.35000000,1013300.93928000,1611851701.82401670,1188531
1614902400000,2021-03-05 00:00:00,ETH/USDT,1539.22000000,1548.96000000,1441.66000000,1528.31000000,910786.28976000,1355798089.27269910,1000913
1614816000000,2021-03-04 00:00:00,ETH/USDT,1567.68000000,1624.87000000,1506.36000000,1539.23000000,946365.67088000,1476463517.98648710,1125118
1614729600000,2021-03-03 00:00:00,ETH/USDT,1486.79000000,1656.94000000,1475.47000000,1567.69000000,1054846.31471000,1676300215.04583230,1237215
1614643200000,2021-03-02 00:00:00,ETH/USDT,1570.00000000,1602.90000000,1455.52000000,1486.78000000,1061142.38743000,1627312282.62352900,966176
1614556800000,2021-03-01 00:00:00,ETH/USDT,1418.67000000,1572.00000000,1409.91000000,1569.86000000,1094695.17839000,1642627276.31055880,989006
1614470400000,2021-02-28 00:00:00,ETH/USDT,1458.27000000,1468.75000000,1293.18000000,1419.18000000,1410207.56284000,1929140046.64625870,1190546
1614384000000,2021-02-27 00:00:00,ETH/USDT,1444.56000000,1529.00000000,1425.00000000,1458.13000000,927423.04750000,1375946816.33254320,954919
1614297600000,2021-02-26 00:00:00,ETH/USDT,1482.08000000,1562.25000000,1400.00000000,1444.59000000,1355973.29378000,2004016547.11119290,1298739
1614211200000,2021-02-25 00:00:00,ETH/USDT,1623.16000000,1671.59000000,1459.16000000,1481.75000000,1032670.79409000,1650582276.87186390,1110019
1614124800000,2021-02-24 00:00:00,ETH/USDT,1577.79000000,1712.70000000,1500.20000000,1623.39000000,1384388.81727000,2261264845.46507440,1319936
1614038400000,2021-02-23 00:00:00,ETH/USDT,1777.42000000,1782.39000000,1355.00000000,1577.89000000,2547837.82068000,3931407907.53427650,2396626
1613952000000,2021-02-22 00:00:00,ETH/USDT,1933.54000000,1936.29000000,1551.00000000,1777.58000000,1807244.98099000,3200483176.97958480,1799926
1613865600000,2021-02-21 00:00:00,ETH/USDT,1912.90000000,1976.31000000,1883.01000000,1933.53000000,756568.19743000,1467970937.28507250,895138
1613779200000,2021-02-20 00:00:00,ETH/USDT,1955.46000000,2042.34000000,1803.14000000,1913.00000000,1261315.81279000,2493836246.48714560,1329067
1613692800000,2021-02-19 00:00:00,ETH/USDT,1938.91000000,1972.82000000,1891.00000000,1955.00000000,793404.41150000,1533991632.12954610,988320
1613606400000,2021-02-18 00:00:00,ETH/USDT,1849.70000000,1950.50000000,1849.69000000,1939.61000000,937227.10191000,1787383532.10237610,1053661
1613520000000,2021-02-17 00:00:00,ETH/USDT,1781.99000000,1855.00000000,1733.01000000,1849.88000000,795711.63311000,1437546812.97183170,862461
1613433600000,2021-02-16 00:00:00,ETH/USDT,1779.33000000,1827.28000000,1724.00000000,1781.99000000,817493.47513000,1455884891.92438010,826125
1613347200000,2021-02-15 00:00:00,ETH/USDT,1800.03000000,1835.72000000,1655.67000000,1779.25000000,1053474.57879000,1860338371.89740780,1086589
1613260800000,2021-02-14 00:00:00,ETH/USDT,1815.25000000,1850.00000000,1784.11000000,1800.42000000,675261.77873000,1230043295.03428380,714827
1613174400000,2021-02-13 00:00:00,ETH/USDT,1840.24000000,1871.72000000,1765.00000000,1814.96000000,767589.07285000,1395594093.28399760,853189
1613088000000,2021-02-12 00:00:00,ETH/USDT,1785.83000000,1864.88000000,1739.88000000,1840.26000000,909600.20653000,1635426867.77409270,996495
1613001600000,2021-02-11 00:00:00,ETH/USDT,1740.76000000,1819.00000000,1703.44000000,1785.62000000,735079.82699000,1301681871.56326880,935602
1612915200000,2021-02-10 00:00:00,ETH/USDT,1769.14000000,1837.86000000,1680.00000000,1740.78000000,1219932.25474000,2149076144.40765770,1279140
1612828800000,2021-02-09 00:00:00,ETH/USDT,1749.68000000,1821.88000000,1708.49000000,1769.13000000,1185071.89593000,2080818891.69890500,1173421
1612742400000,2021-02-08 00:00:00,ETH/USDT,1611.46000000,1775.57000000,1563.89000000,1750.15000000,1339777.09536000,2255426926.01997780,1372788
1612656000000,2021-02-07 00:00:00,ETH/USDT,1676.35000000,1693.00000000,1490.46000000,1611.62000000,1281734.86814000,2044371589.02327640,1263737
1612569600000,2021-02-06 00:00:00,ETH/USDT,1718.95000000,1743.67000000,1642.94000000,1676.35000000,1149808.33101000,1940057857.94389820,1152167
1612483200000,2021-02-05 00:00:00,ETH/USDT,1595.53000000,1760.49000000,1591.00000000,1719.19000000,1194123.29946000,2011685911.16688670,1326415
1612396800000,2021-02-04 00:00:00,ETH/USDT,1664.67000000,1695.20000000,1554.44000000,1595.67000000,1646502.32962000,2693099602.27560810,1507993
1612310400000,2021-02-03 00:00:00,ETH/USDT,1511.93000000,1669.35000000,1508.39000000,1664.49000000,1535869.88801000,2418887041.58756150,1384979
1612224000000,2021-02-02 00:00:00,ETH/USDT,1374.09000000,1547.90000000,1360.28000000,1511.87000000,1944227.99878000,2821617332.39978510,1614541
1612137600000,2021-02-01 00:00:00,ETH/USDT,1312.45000000,1377.99000000,1269.99000000,1374.17000000,1096397.91862000,1449463766.72379510,915584
1612051200000,2021-01-31 00:00:00,ETH/USDT,1378.04000000,1380.74000000,1281.12000000,1312.55000000,958704.85571000,1276842259.97134880,828176
1611964800000,2021-01-30 00:00:00,ETH/USDT,1379.56000000,1406.00000000,1326.41000000,1378.05000000,1040042.23630000,1414231402.54388340,1013174
1611878400000,2021-01-29 00:00:00,ETH/USDT,1329.44000000,1436.90000000,1285.35000000,1379.50000000,2253963.18682000,3077996801.23176560,1714076
1611792000000,2021-01-28 00:00:00,ETH/USDT,1238.93000000,1360.00000000,1217.23000000,1329.69000000,1365269.71962000,1790490878.19379420,1275024
1611705600000,2021-01-27 00:00:00,ETH/USDT,1366.54000000,1373.90000000,1207.00000000,1239.03000000,2009772.08358000,2554649901.07484460,1737296
1611619200000,2021-01-26 00:00:00,ETH/USDT,1317.60000000,1378.49000000,1244.56000000,1365.97000000,1682923.65799000,2216751668.39271260,1423178
1611532800000,2021-01-25 00:00:00,ETH/USDT,1392.19000000,1475.00000000,1293.69000000,1317.88000000,1885441.31289000,2644267236.89718770,1661512
1611446400000,2021-01-24 00:00:00,ETH/USDT,1233.46000000,1398.83000000,1220.00000000,1392.51000000,1510879.53817000,1996765627.54051920,1313986
1611360000000,2021-01-23 00:00:00,ETH/USDT,1232.61000000,1272.44000000,1195.90000000,1233.60000000,1009545.08258000,1250575691.76273060,932871
1611273600000,2021-01-22 00:00:00,ETH/USDT,1111.98000000,1273.79000000,1042.31000000,1232.62000000,2020593.21673000,2360267831.31755460,1652010
1611187200000,2021-01-21 00:00:00,ETH/USDT,1376.72000000,1390.00000000,1086.00000000,1110.96000000,2254164.80365000,2787012514.78097050,1823458
1611100800000,2021-01-20 00:00:00,ETH/USDT,1365.36000000,1407.93000000,1235.42000000,1376.99000000,2219137.62144000,2931656296.46700050,1852253
1611014400000,2021-01-19 00:00:00,ETH/USDT,1258.52000000,1438.30000000,1251.49000000,1365.36000000,2278852.55758000,3120980923.93030880,1840481
1610928000000,2021-01-18 00:00:00,ETH/USDT,1232.50000000,1260.75000000,1182.58000000,1258.45000000,998050.11073000,1223628040.73726070,940604
1610841600000,2021-01-17 00:00:00,ETH/USDT,1227.83000000,1269.02000000,1165.00000000,1232.45000000,1317285.00579000,1606424364.49704180,1121278
1610755200000,2021-01-16 00:00:00,ETH/USDT,1168.48000000,1298.00000000,1151.77000000,1227.83000000,1575384.43797000,1927453174.61179310,1252473
1610668800000,2021-01-15 00:00:00,ETH/USDT,1231.89000000,1256.98000000,1069.42000000,1168.53000000,1944038.83738000,2302781118.95873940,1519266
1610582400000,2021-01-14 00:00:00,ETH/USDT,1129.79000000,1247.55000000,1086.70000000,1231.62000000,1555737.38556000,1825860914.17379550,1255769
1610496000000,2021-01-13 00:00:00,ETH/USDT,1050.36000000,1137.65000000,987.48000000,1129.89000000,1564202.39081000,1664178969.07380440,1123983
1610409600000,2021-01-12 00:00:00,ETH/USDT,1087.00000000,1150.02000000,1006.33000000,1050.16000000,2302645.34052000,2491067092.51012720,1516625
1610323200000,2021-01-11 00:00:00,ETH/USDT,1254.24000000,1260.00000000,915.00000000,1087.01000000,4068784.65678000,4290593989.58017690,2557613
1610236800000,2021-01-10 00:00:00,ETH/USDT,1276.00000000,1348.33000000,1170.00000000,1254.25000000,1951179.35003000,2517791852.40776210,1437486
1610150400000,2021-01-09 00:00:00,ETH/USDT,1216.72000000,1304.37000000,1171.36000000,1276.00000000,1448871.11514000,1780137376.41646950,1131871
1610064000000,2021-01-08 00:00:00,ETH/USDT,1224.86000000,1273.75000000,1065.00000000,1216.93000000,2131172.92341000,2543427452.58012550,1718817
1609977600000,2021-01-07 00:00:00,ETH/USDT,1208.75000000,1289.00000000,1131.00000000,1224.87000000,1972922.82059000,2406219891.36853430,1402699
1609891200000,2021-01-06 00:00:00,ETH/USDT,1100.16000000,1213.00000000,1057.26000000,1208.42000000,2390136.59334000,2725262121.28851310,1600888
1609804800000,2021-01-05 00:00:00,ETH/USDT,1041.45000000,1134.60000000,974.45000000,1099.56000000,2706995.67525000,2857050280.00814230,1960503
1609718400000,2021-01-04 00:00:00,ETH/USDT,978.33000000,1162.97000000,890.00000000,1041.43000000,4245010.94004000,4303634203.21959870,2477862
1609632000000,2021-01-03 00:00:00,ETH/USDT,774.44000000,1011.07000000,768.71000000,978.28000000,2813603.88615000,2522411859.73160970,1636501
1609545600000,2021-01-02 00:00:00,ETH/USDT,728.91000000,787.69000000,714.91000000,774.56000000,1352618.57668000,1024472182.61208700,824134
