https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT,tradecount
1616025600000,2021-03-18 00:00:00,LTC/USDT,205.96000000,207.72000000,205.90000000,206.70000000,10340.26794000,2139117.90253290,3873
1615939200000,2021-03-17 00:00:00,LTC/USDT,201.61000000,206.94000000,194.13000000,205.98000000,885644.66746000,177676188.78158600,377115
1615852800000,2021-03-16 00:00:00,LTC/USDT,200.59000000,205.53000000,191.15000000,201.60000000,1063051.80222000,211789426.17654140,673355
1615766400000,2021-03-15 00:00:00,LTC/USDT,214.00000000,222.58000000,197.56000000,200.59000000,1413381.72445000,291674163.58328460,664599
1615680000000,2021-03-14 00:00:00,LTC/USDT,226.08000000,228.12000000,213.84000000,213.94000000,806542.74173000,177641500.66546790,544634
1615593600000,2021-03-13 00:00:00,LTC/USDT,220.80000000,230.23000000,212.70000000,226.06000000,1330663.68103000,296844070.67501210,628460
1615507200000,2021-03-12 00:00:00,LTC/USDT,201.37000000,224.23000000,198.41000000,220.84000000,2081683.73697000,438911699.79576790,917834
1615420800000,2021-03-11 00:00:00,LTC/USDT,200.29000000,203.54000000,191.03000000,201.36000000,981380.12090000,194448681.75772490,462332
1615334400000,2021-03-10 00:00:00,LTC/USDT,203.80000000,208.00000000,191.47000000,200.29000000,1422079.58464000,285300116.82579080,530224
1615248000000,2021-03-09 00:00:00,LTC/USDT,191.86000000,205.00000000,188.92000000,203.81000000,1279698.49896000,253719098.46101130,522687
1615161600000,2021-03-08 00:00:00,LTC/USDT,190.75000000,195.28000000,179.58000000,191.85000000,1171979.04352000,218298243.74947130,505799
1615075200000,2021-03-07 00:00:00,LTC/USDT,182.86000000,192.24000000,182.25000000,190.75000000,820418.23901000,153066685.71137090,315993
1614988800000,2021-03-06 00:00:00,LTC/USDT,180.21000000,184.67000000,174.68000000,182.85000000,935959.96790000,169045674.01508680,441332
1614902400000,2021-03-05 00:00:00,LTC/USDT,180.66000000,183.57000000,168.50000000,180.23000000,1182501.69882000,206736683.42664490,410149
1614816000000,2021-03-04 00:00:00,LTC/USDT,187.70000000,194.40000000,176.83000000,180.67000000,1485337.09208000,275358427.62702170,595968
1614729600000,2021-03-03 00:00:00,LTC/USDT,179.06000000,196.49000000,176.79000000,187.64000000,1873295.01116000,356756304.15106600,875356
1614643200000,2021-03-02 00:00:00,LTC/USDT,175.90000000,185.32000000,170.69000000,179.08000000,1441741.00235000,255346162.55104910,431134
1614556800000,2021-03-01 00:00:00,LTC/USDT,165.27000000,176.46000000,163.30000000,175.89000000,1216268.49518000,206763547.48994870,379963
1614470400000,2021-02-28 00:00:00,LTC/USDT,171.75000000,173.42000000,152.88000000,165.22000000,1682228.22219000,270779244.86199550,505205
