Date,Price,Open,High,Low,Vol.,Change %
Mar 18 2021,1732.50,1744.00,1754.20,1716.60,251.76K,0.31%
Mar 17 2021,1727.10,1730.00,1750.60,1722.00,220.55K,-0.22%
Mar 16 2021,1730.90,1730.70,1740.50,1724.40,173.89K,0.10%
Mar 15 2021,1729.20,1726.50,1733.20,1719.20,163.05K,0.55%
Mar 12 2021,1719.80,1720.50,1728.00,1696.60,232.21K,-0.16%
Mar 11 2021,1722.60,1725.00,1738.00,1716.80,215.34K,0.05%
Mar 10 2021,1721.80,1714.50,1725.30,1705.60,226.89K,0.29%
Mar 09 2021,1716.90,1679.30,1718.70,1676.70,248.95K,2.32%
Mar 08 2021,1678.00,1701.60,1712.00,1673.30,273.91K,-1.21%
Mar 05 2021,1698.50,1695.30,1705.70,1683.00,269.33K,-0.13%
Mar 04 2021,1700.70,1708.40,1721.60,1687.60,277.45K,-0.88%
Mar 03 2021,1715.80,1736.50,1739.10,1699.40,255.65K,-1.03%
Mar 02 2021,1733.60,1722.80,1737.80,1704.60,235.96K,0.62%
Mar 01 2021,1723.00,1732.80,1757.40,1717.20,241.92K,-0.34%
Feb 26 2021,1728.80,1770.90,1773.80,1714.90,362.55K,-2.62%
Feb 25 2021,1775.40,1804.90,1805.00,1763.90,316.25K,-1.25%
Feb 24 2021,1797.90,1805.00,1813.00,1782.20,224.06K,-0.44%
Feb 23 2021,1805.90,1809.30,1815.20,1794.50,191.15K,-0.14%
Feb 22 2021,1808.40,1782.00,1812.40,1778.60,221.20K,1.74%
Feb 19 2021,1777.40,1774.60,1790.90,1759.00,251.78K,0.14%
Feb 18 2021,1775.00,1776.00,1788.80,1766.60,224.77K,0.12%
Feb 17 2021,1772.80,1793.10,1794.20,1767.90,257.34K,-1.46%
Feb 16 2021,1799.00,1826.00,1827.10,1788.10,355.92K,-1.09%
Feb 15 2021,1818.75,1820.90,1827.00,1815.60,-,-0.13%
Feb 14 2021,1821.05,1822.45,1826.30,1820.15,-,-0.12%
Feb 12 2021,1823.20,1825.40,1831.50,1810.10,171.90K,-0.20%
Feb 11 2021,1826.80,1844.30,1848.60,1821.70,147.02K,-0.86%
Feb 10 2021,1842.70,1838.30,1856.60,1834.00,176.44K,0.28%
Feb 09 2021,1837.50,1832.40,1849.50,1830.30,154.39K,0.18%
Feb 08 2021,1834.20,1818.10,1840.60,1807.30,177.56K,1.17%
Feb 05 2021,1813.00,1794.30,1816.00,1792.20,205.76K,1.22%
Feb 04 2021,1791.20,1834.50,1835.70,1784.60,279.62K,-2.39%
Feb 03 2021,1835.10,1838.50,1845.90,1830.10,137.23K,0.09%
Feb 02 2021,1833.40,1863.60,1866.30,1830.40,236.00K,-1.64%
Feb 01 2021,1863.90,1865.00,1876.00,1851.70,242.05K,0.74%
